  Frequency            , I(Rload)             
  2.355049283896e+00  ,2.118705959067e-05  
  2.360478233181e+00  ,2.118705959226e-05  
  2.365919697486e+00  ,2.118705959386e-05  
  2.371373705662e+00  ,2.118705959546e-05  
  2.376840286625e+00  ,2.118705959707e-05  
  2.382319469359e+00  ,2.118705959869e-05  
  2.387811282913e+00  ,2.118705960031e-05  
  2.393315756405e+00  ,2.118705960195e-05  
  2.398832919019e+00  ,2.118705960359e-05  
  2.404362800007e+00  ,2.118705960523e-05  
  2.409905428687e+00  ,2.118705960689e-05  
  2.415460834445e+00  ,2.118705960855e-05  
  2.421029046736e+00  ,2.118705961022e-05  
  2.426610095082e+00  ,2.118705961190e-05  
  2.432204009074e+00  ,2.118705961359e-05  
  2.437810818369e+00  ,2.118705961528e-05  
  2.443430552694e+00  ,2.118705961698e-05  
  2.449063241845e+00  ,2.118705961869e-05  
  2.454708915685e+00  ,2.118705962041e-05  
  2.460367604148e+00  ,2.118705962214e-05  
  2.466039337234e+00  ,2.118705962387e-05  
  2.471724145016e+00  ,2.118705962561e-05  
  2.477422057633e+00  ,2.118705962736e-05  
  2.483133105296e+00  ,2.118705962912e-05  
  2.488857318282e+00  ,2.118705963088e-05  
  2.494594726943e+00  ,2.118705963266e-05  
  2.500345361696e+00  ,2.118705963444e-05  
  2.506109253032e+00  ,2.118705963623e-05  
  2.511886431510e+00  ,2.118705963803e-05  
  2.517676927759e+00  ,2.118705963984e-05  
  2.523480772481e+00  ,2.118705964165e-05  
  2.529297996446e+00  ,2.118705964347e-05  
  2.535128630498e+00  ,2.118705964531e-05  
  2.540972705549e+00  ,2.118705964715e-05  
  2.546830252585e+00  ,2.118705964900e-05  
  2.552701302661e+00  ,2.118705965085e-05  
  2.558585886906e+00  ,2.118705965272e-05  
  2.564484036518e+00  ,2.118705965459e-05  
  2.570395782769e+00  ,2.118705965648e-05  
  2.576321157003e+00  ,2.118705965837e-05  
  2.582260190635e+00  ,2.118705966027e-05  
  2.588212915153e+00  ,2.118705966218e-05  
  2.594179362119e+00  ,2.118705966410e-05  
  2.600159563165e+00  ,2.118705966602e-05  
  2.606153549999e+00  ,2.118705966796e-05  
  2.612161354399e+00  ,2.118705966991e-05  
  2.618183008219e+00  ,2.118705967186e-05  
  2.624218543384e+00  ,2.118705967382e-05  
  2.630267991895e+00  ,2.118705967579e-05  
  2.636331385825e+00  ,2.118705967778e-05  
  2.642408757322e+00  ,2.118705967977e-05  
  2.648500138607e+00  ,2.118705968177e-05  
  2.654605561975e+00  ,2.118705968377e-05  
  2.660725059799e+00  ,2.118705968579e-05  
  2.666858664521e+00  ,2.118705968782e-05  
  2.673006408663e+00  ,2.118705968986e-05  
  2.679168324819e+00  ,2.118705969190e-05  
  2.685344445658e+00  ,2.118705969396e-05  
  2.691534803927e+00  ,2.118705969602e-05  
  2.697739432445e+00  ,2.118705969810e-05  
  2.703958364109e+00  ,2.118705970018e-05  
  2.710191631891e+00  ,2.118705970228e-05  
  2.716439268839e+00  ,2.118705970438e-05  
  2.722701308078e+00  ,2.118705970649e-05  
  2.728977782808e+00  ,2.118705970861e-05  
  2.735268726307e+00  ,2.118705971075e-05  
  2.741574171928e+00  ,2.118705971289e-05  
  2.747894153102e+00  ,2.118705971504e-05  
  2.754228703338e+00  ,2.118705971720e-05  
  2.760577856220e+00  ,2.118705971938e-05  
  2.766941645411e+00  ,2.118705972156e-05  
  2.773320104652e+00  ,2.118705972375e-05  
  2.779713267759e+00  ,2.118705972595e-05  
  2.786121168630e+00  ,2.118705972817e-05  
  2.792543841237e+00  ,2.118705973039e-05  
  2.798981319634e+00  ,2.118705973262e-05  
  2.805433637952e+00  ,2.118705973487e-05  
  2.811900830399e+00  ,2.118705973712e-05  
  2.818382931264e+00  ,2.118705973938e-05  
  2.824879974916e+00  ,2.118705974166e-05  
  2.831391995799e+00  ,2.118705974394e-05  
  2.837919028441e+00  ,2.118705974624e-05  
  2.844461107448e+00  ,2.118705974855e-05  
  2.851018267504e+00  ,2.118705975086e-05  
  2.857590543375e+00  ,2.118705975319e-05  
  2.864177969907e+00  ,2.118705975553e-05  
  2.870780582025e+00  ,2.118705975788e-05  
  2.877398414736e+00  ,2.118705976024e-05  
  2.884031503127e+00  ,2.118705976261e-05  
  2.890679882365e+00  ,2.118705976499e-05  
  2.897343587701e+00  ,2.118705976738e-05  
  2.904022654464e+00  ,2.118705976979e-05  
  2.910717118067e+00  ,2.118705977220e-05  
  2.917427014001e+00  ,2.118705977463e-05  
  2.924152377843e+00  ,2.118705977707e-05  
  2.930893245250e+00  ,2.118705977951e-05  
  2.937649651961e+00  ,2.118705978197e-05  
  2.944421633799e+00  ,2.118705978445e-05  
  2.951209226666e+00  ,2.118705978693e-05  
  2.958012466551e+00  ,2.118705978942e-05  
  2.964831389524e+00  ,2.118705979193e-05  
  2.971666031738e+00  ,2.118705979444e-05  
  2.978516429429e+00  ,2.118705979697e-05  
  2.985382618918e+00  ,2.118705979951e-05  
  2.992264636608e+00  ,2.118705980207e-05  
  2.999162518988e+00  ,2.118705980463e-05  
  3.006076302628e+00  ,2.118705980721e-05  
  3.013006024186e+00  ,2.118705980979e-05  
  3.019951720402e+00  ,2.118705981239e-05  
  3.026913428101e+00  ,2.118705981501e-05  
  3.033891184194e+00  ,2.118705981763e-05  
  3.040885025676e+00  ,2.118705982026e-05  
  3.047894989628e+00  ,2.118705982291e-05  
  3.054921113215e+00  ,2.118705982557e-05  
  3.061963433691e+00  ,2.118705982825e-05  
  3.069021988391e+00  ,2.118705983093e-05  
  3.076096814741e+00  ,2.118705983363e-05  
  3.083187950249e+00  ,2.118705983634e-05  
  3.090295432514e+00  ,2.118705983906e-05  
  3.097419299217e+00  ,2.118705984179e-05  
  3.104559588128e+00  ,2.118705984454e-05  
  3.111716337106e+00  ,2.118705984730e-05  
  3.118889584094e+00  ,2.118705985007e-05  
  3.126079367124e+00  ,2.118705985286e-05  
  3.133285724316e+00  ,2.118705985566e-05  
  3.140508693876e+00  ,2.118705985847e-05  
  3.147748314101e+00  ,2.118705986129e-05  
  3.155004623375e+00  ,2.118705986413e-05  
  3.162277660168e+00  ,2.118705986698e-05  
  3.169567463043e+00  ,2.118705986985e-05  
  3.176874070650e+00  ,2.118705987272e-05  
  3.184197521726e+00  ,2.118705987561e-05  
  3.191537855101e+00  ,2.118705987852e-05  
  3.198895109691e+00  ,2.118705988143e-05  
  3.206269324505e+00  ,2.118705988436e-05  
  3.213660538640e+00  ,2.118705988731e-05  
