  Frequency            , SQRT(S(NTOT(ONOISE)))
  2.773320104652e+00  ,4.014454731164e-09  
  2.779713267759e+00  ,4.021684664874e-09  
  2.786121168630e+00  ,4.028918246237e-09  
  2.792543841237e+00  ,4.036155493892e-09  
  2.798981319634e+00  ,4.043396426419e-09  
  2.805433637952e+00  ,4.050641062346e-09  
  2.811900830399e+00  ,4.057889420143e-09  
  2.818382931264e+00  ,4.065141518230e-09  
  2.824879974916e+00  ,4.072397374971e-09  
  2.831391995799e+00  ,4.079657008679e-09  
  2.837919028441e+00  ,4.086920437615e-09  
  2.844461107448e+00  ,4.094187679985e-09  
  2.851018267504e+00  ,4.101458753948e-09  
  2.857590543375e+00  ,4.108733677610e-09  
  2.864177969907e+00  ,4.116012469026e-09  
  2.870780582025e+00  ,4.123295146204e-09  
  2.877398414736e+00  ,4.130581727098e-09  
  2.884031503127e+00  ,4.137872229618e-09  
  2.890679882365e+00  ,4.145166671623e-09  
  2.897343587701e+00  ,4.152465070925e-09  
  2.904022654464e+00  ,4.159767445286e-09  
  2.910717118067e+00  ,4.167073812426e-09  
  2.917427014001e+00  ,4.174384190013e-09  
  2.924152377843e+00  ,4.181698595672e-09  
  2.930893245250e+00  ,4.189017046982e-09  
  2.937649651961e+00  ,4.196339561476e-09  
  2.944421633799e+00  ,4.203666156642e-09  
  2.951209226666e+00  ,4.210996849924e-09  
  2.958012466551e+00  ,4.218331658721e-09  
  2.964831389524e+00  ,4.225670600392e-09  
  2.971666031738e+00  ,4.233013692247e-09  
  2.978516429429e+00  ,4.240360951558e-09  
  2.985382618918e+00  ,4.247712395554e-09  
  2.992264636608e+00  ,4.255068041419e-09  
  2.999162518988e+00  ,4.262427906298e-09  
  3.006076302628e+00  ,4.269792007295e-09  
  3.013006024186e+00  ,4.277160361473e-09  
  3.019951720402e+00  ,4.284532985852e-09  
  3.026913428101e+00  ,4.291909897417e-09  
  3.033891184194e+00  ,4.299291113108e-09  
  3.040885025676e+00  ,4.306676649830e-09  
  3.047894989628e+00  ,4.314066524446e-09  
  3.054921113215e+00  ,4.321460753783e-09  
  3.061963433691e+00  ,4.328859354629e-09  
  3.069021988391e+00  ,4.336262343733e-09  
  3.076096814741e+00  ,4.343669737808e-09  
  3.083187950249e+00  ,4.351081553530e-09  
  3.090295432514e+00  ,4.358497807537e-09  
  3.097419299217e+00  ,4.365918516432e-09  
  3.104559588128e+00  ,4.373343696781e-09  
  3.111716337106e+00  ,4.380773365115e-09  
  3.118889584094e+00  ,4.388207537930e-09  
  3.126079367124e+00  ,4.395646231686e-09  
  3.133285724316e+00  ,4.403089462809e-09  
  3.140508693876e+00  ,4.410537247690e-09  
  3.147748314101e+00  ,4.417989602687e-09  
  3.155004623375e+00  ,4.425446544124e-09  
  3.162277660168e+00  ,4.432908088292e-09  
  3.169567463043e+00  ,4.440374251447e-09  
  3.176874070650e+00  ,4.447845049815e-09  
  3.184197521726e+00  ,4.455320499589e-09  
  3.191537855101e+00  ,4.462800616927e-09  
  3.198895109691e+00  ,4.470285417960e-09  
  3.206269324505e+00  ,4.477774918784e-09  
  3.213660538640e+00  ,4.485269135465e-09  
  3.221068791283e+00  ,4.492768084039e-09  
  3.228494121713e+00  ,4.500271780509e-09  
  3.235936569296e+00  ,4.507780240850e-09  
  3.243396173493e+00  ,4.515293481006e-09  
  3.250872973854e+00  ,4.522811516893e-09  
  3.258367010020e+00  ,4.530334364395e-09  
  3.265878321723e+00  ,4.537862039368e-09  
  3.273406948788e+00  ,4.545394557640e-09  
  3.280952931131e+00  ,4.552931935009e-09  
  3.288516308760e+00  ,4.560474187246e-09  
  3.296097121774e+00  ,4.568021330094e-09  
  3.303695410368e+00  ,4.575573379267e-09  
  3.311311214826e+00  ,4.583130350453e-09  
  3.318944575526e+00  ,4.590692259312e-09  
  3.326595532940e+00  ,4.598259121477e-09  
  3.334264127632e+00  ,4.605830952556e-09  
  3.341950400261e+00  ,4.613407768127e-09  
  3.349654391578e+00  ,4.620989583746e-09  
  3.357376142429e+00  ,4.628576414940e-09  
  3.365115693755e+00  ,4.636168277213e-09  
  3.372873086589e+00  ,4.643765186041e-09  
  3.380648362060e+00  ,4.651367156878e-09  
  3.388441561392e+00  ,4.658974205150e-09  
  3.396252725904e+00  ,4.666586346260e-09  
  3.404081897010e+00  ,4.674203595587e-09  
  3.411929116219e+00  ,4.681825968485e-09  
  3.419794425137e+00  ,4.689453480285e-09  
  3.427677865464e+00  ,4.697086146293e-09  
  3.435579478999e+00  ,4.704723981793e-09  
  3.443499307633e+00  ,4.712367002045e-09  
  3.451437393358e+00  ,4.720015222287e-09  
  3.459393778261e+00  ,4.727668657733e-09  
  3.467368504525e+00  ,4.735327323576e-09  
  3.475361614432e+00  ,4.742991234985e-09  
  3.483373150360e+00  ,4.750660407109e-09  
  3.491403154786e+00  ,4.758334855073e-09  
  3.499451670283e+00  ,4.766014593983e-09  
  3.507518739526e+00  ,4.773699638921e-09  
  3.515604405283e+00  ,4.781390004950e-09  
  3.523708710425e+00  ,4.789085707112e-09  
  3.531831697919e+00  ,4.796786760426e-09  
  3.539973410834e+00  ,4.804493179894e-09  
  3.548133892336e+00  ,4.812204980494e-09  
  3.556313185690e+00  ,4.819922177187e-09  
  3.564511334262e+00  ,4.827644784912e-09  
  3.572728381519e+00  ,4.835372818591e-09  
  3.580964371026e+00  ,4.843106293124e-09  
  3.589219346450e+00  ,4.850845223392e-09  
  3.597493351557e+00  ,4.858589624259e-09  
  3.605786430216e+00  ,4.866339510568e-09  
  3.614098626396e+00  ,4.874094897144e-09  
  3.622429984167e+00  ,4.881855798795e-09  
  3.630780547701e+00  ,4.889622230310e-09  
  3.639150361272e+00  ,4.897394206457e-09  
  3.647539469256e+00  ,4.905171741991e-09  
  3.655947916131e+00  ,4.912954851647e-09  
  3.664375746478e+00  ,4.920743550142e-09  
  3.672823004981e+00  ,4.928537852176e-09  
  3.681289736425e+00  ,4.936337772433e-09  
  3.689775985701e+00  ,4.944143325580e-09  
  3.698281797803e+00  ,4.951954526266e-09  
  3.706807217826e+00  ,4.959771389124e-09  
  3.715352290972e+00  ,4.967593928771e-09  
