  Frequency            , sqrt(ntot(onoise))   
  1.753880501842e+00  ,3.014622915313e-09  
  1.757923613959e+00  ,3.014622915313e-09  
  1.761976046412e+00  ,3.014622915313e-09  
  1.766037820686e+00  ,3.014622915313e-09  
  1.770108958317e+00  ,3.014622915313e-09  
  1.774189480890e+00  ,3.014622915313e-09  
  1.778279410039e+00  ,3.014622915313e-09  
  1.782378767448e+00  ,3.014622915313e-09  
  1.786487574852e+00  ,3.014622915313e-09  
  1.790605854035e+00  ,3.014622915313e-09  
  1.794733626833e+00  ,3.014622915313e-09  
  1.798870915129e+00  ,3.014622915313e-09  
  1.803017740860e+00  ,3.014622915313e-09  
  1.807174126011e+00  ,3.014622915313e-09  
  1.811340092620e+00  ,3.014622915313e-09  
  1.815515662773e+00  ,3.014622915313e-09  
  1.819700858610e+00  ,3.014622915313e-09  
  1.823895702320e+00  ,3.014622915313e-09  
  1.828100216143e+00  ,3.014622915313e-09  
  1.832314422371e+00  ,3.014622915313e-09  
  1.836538343348e+00  ,3.014622915313e-09  
  1.840772001469e+00  ,3.014622915313e-09  
  1.845015419179e+00  ,3.014622915313e-09  
  1.849268618978e+00  ,3.014622915313e-09  
  1.853531623415e+00  ,3.014622915313e-09  
  1.857804455092e+00  ,3.014622915313e-09  
  1.862087136663e+00  ,3.014622915313e-09  
  1.866379690835e+00  ,3.014622915313e-09  
  1.870682140366e+00  ,3.014622915313e-09  
  1.874994508067e+00  ,3.014622915313e-09  
  1.879316816803e+00  ,3.014622915313e-09  
  1.883649089490e+00  ,3.014622915313e-09  
  1.887991349096e+00  ,3.014622915313e-09  
  1.892343618645e+00  ,3.014622915313e-09  
  1.896705921211e+00  ,3.014622915313e-09  
  1.901078279923e+00  ,3.014622915313e-09  
